date,fire_count,frp_mean,frp_total,confidence_avg,tavg,tmin,tmax,prcp,wspd,fire_weather_index,drought_days,high_temp,high_wind,temp_range,month,season,fire_occurred,temp_lag1,prcp_lag1,drought_cumsum,season_encoded,tavg_rolling_3d,prcp_rolling_3d,wspd_rolling_3d,tavg_lag2,tavg_lag3,prcp_lag2,prcp_lag3,wspd_lag2,wspd_lag3,tavg_wspd_interaction
2023-01-05,6.0,1.71,10.26,0.0,14.05,7.6,19.95,0.0,6.0,53.17,1,0,0,12.35,1,Winter,1,13.75,0.0,5,3,14.316666666666668,0.0,6.333333333333333,15.15,15.25,0.0,0.05,7.3,6.4,84.30000000000001
2023-01-06,3.0,2.2,6.59,62.0,13.45,8.8,19.3,0.0,5.15,51.52,1,0,0,10.5,1,Winter,1,14.05,0.0,6,3,13.75,0.0,5.616666666666667,13.75,15.15,0.0,0.0,5.7,7.3,69.2675
2023-01-07,4.0,2.24,8.98,0.0,13.9,7.5,20.8,0.0,5.25,52.16,1,0,0,13.3,1,Winter,1,13.45,0.0,7,3,13.800000000000002,0.0,5.466666666666666,14.05,13.75,0.0,0.0,6.0,5.7,72.97500000000001
2023-01-08,6.0,1.45,8.69,58.0,15.1,8.85,20.5,0.15,9.85,43.67,1,0,1,11.65,1,Winter,1,13.9,0.0,8,3,14.149999999999999,0.049999999999999996,6.75,13.45,14.05,0.0,0.0,5.15,6.0,148.73499999999999
2023-01-09,6.0,0.92,5.52,0.0,16.25,12.7,20.45,1.0,7.9,27.86,0,0,0,7.75,1,Winter,1,15.1,0.15,8,3,15.083333333333334,0.3833333333333333,7.666666666666667,13.9,13.45,0.0,0.0,5.25,5.15,128.375
2023-01-10,12.0,17.04,204.42,62.5,15.0,9.55,20.25,0.0,6.85,55.23,1,0,0,10.7,1,Winter,1,16.25,1.0,9,3,15.449999999999998,0.3833333333333333,8.200000000000001,15.1,13.9,0.15,0.0,9.85,5.25,102.75
2023-01-11,3.0,2.75,8.25,32.0,15.95,10.9,19.15,0.0,5.15,54.47,1,0,0,8.25,1,Winter,1,15.0,0.0,10,3,15.733333333333333,0.3333333333333333,6.633333333333333,16.25,15.1,1.0,0.15,7.9,9.85,82.1425
2023-01-12,3.0,7.8,23.4,54.0,14.9,10.45,18.9,0.15,7.2,40.5,1,0,0,8.45,1,Winter,1,15.95,0.0,11,3,15.283333333333331,0.049999999999999996,6.3999999999999995,15.0,16.25,0.0,1.0,6.85,7.9,107.28
2023-01-13,6.0,2.47,14.83,55.0,13.85,8.45,19.2,0.0,5.25,52.11,1,0,0,10.75,1,Winter,1,14.9,0.15,12,3,14.899999999999999,0.049999999999999996,5.866666666666667,15.95,15.0,0.0,0.0,5.15,6.85,72.71249999999999
2023-01-14,4.0,1.02,4.06,0.0,13.8,9.0,18.0,0.0,6.85,53.82,1,0,0,9.0,1,Winter,1,13.85,0.0,13,3,14.183333333333332,0.049999999999999996,6.433333333333334,14.9,15.95,0.15,0.0,7.2,5.15,94.53
2023-01-15,11.0,3.82,41.97,54.33,13.6,7.85,18.2,0.0,5.35,51.92,1,0,0,10.35,1,Winter,1,13.8,0.0,14,3,13.75,0.0,5.816666666666666,13.85,14.9,0.0,0.15,5.25,7.2,72.75999999999999
2023-01-16,3.0,1.53,4.59,0.0,12.75,7.65,17.05,0.4,6.1,36.75,1,0,0,9.4,1,Winter,1,13.6,0.0,15,3,13.383333333333333,0.13333333333333333,6.1000000000000005,13.8,13.85,0.0,0.0,6.85,5.25,77.77499999999999
2023-01-17,5.0,4.3,21.49,60.0,13.55,7.95,17.1,0.15,14.75,47.27,1,0,1,9.15,1,Winter,1,12.75,0.4,16,3,13.299999999999999,0.18333333333333335,8.733333333333333,13.6,13.8,0.0,0.0,5.35,6.85,199.8625
2023-01-18,0.0,0.0,0.0,0.0,14.1,12.1,16.15,10.8,11.0,28.77,0,0,1,4.05,1,Winter,0,13.55,0.15,16,3,13.466666666666663,3.7833333333333337,10.616666666666667,12.75,13.6,0.4,0.0,6.1,5.35,155.1
2023-01-19,4.0,1.06,4.22,0.0,11.7,7.5,16.0,0.65,8.6,38.29,1,0,1,8.5,1,Winter,1,14.1,10.8,17,3,13.116666666666665,3.866666666666667,11.450000000000001,13.55,12.75,0.15,0.4,14.75,6.1,100.61999999999999
2023-01-20,7.0,1.38,9.63,0.0,12.9,7.05,17.7,0.0,6.9,52.81,1,0,0,10.65,1,Winter,1,11.7,0.65,18,3,12.899999999999999,3.816666666666667,8.833333333333334,14.1,13.55,10.8,0.15,11.0,14.75,89.01
2023-01-21,6.0,2.75,16.51,0.0,14.15,10.3,17.85,0.65,7.7,40.17,1,0,0,7.55,1,Winter,1,12.9,0.0,19,3,12.916666666666666,0.43333333333333335,7.733333333333333,11.7,14.1,0.65,10.8,8.6,11.0,108.955
2023-01-22,4.0,1.34,5.37,0.0,14.05,9.5,18.0,0.15,6.3,38.5,1,0,0,8.5,1,Winter,1,14.15,0.65,20,3,13.699999999999998,0.26666666666666666,6.966666666666666,12.9,11.7,0.0,0.65,6.9,8.6,88.515
2023-01-23,5.0,0.92,4.61,0.0,10.2,4.95,15.8,0.0,6.9,49.64,1,0,0,10.85,1,Winter,1,14.05,0.15,21,3,12.799999999999999,0.26666666666666666,6.966666666666666,14.15,12.9,0.65,0.0,7.7,6.9,70.38
2023-01-24,2.0,0.8,1.61,0.0,9.65,3.8,14.7,0.0,6.5,48.55,1,0,0,10.9,1,Winter,1,10.2,0.0,22,3,11.299999999999999,0.049999999999999996,6.566666666666667,14.05,14.15,0.15,0.65,6.3,7.7,62.725
